"ID_REGION";"LIB_REGION";"ID_ZONE";"LIB_ZONE";"ID_AGENCE";"LIB_AGENCE";"COMPANY"
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"126";AGENCE TUNIS CITY (C6);TN0021126
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"221";AGENCE RAOUED/EL GHAZALA (M1);TN0021221
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"76";AGENCE ARIANA LE FORUM (76);TN0021076
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"3";AGENCE GROMBALIA (03);TN0021003
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"4";AGENCE MENZEL BOUZELFA (04);TN0021004
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"582";ZONE CENTRE ET SAHEL 1;"308";AGENCE MONASTIR III (U8);TN0021308
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"20";AGENCE SOUSSE (20);TN0021020
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"581";ZONE SOUSSE;"258";AGENCE SOUSSE ERRIADH (P8);TN0021258
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"18";AGENCE HAFSIA (18);TN0021018
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"274";AGENCE MONFLEURY (R4);TN0021274
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"289";AGENCE DENDEN (S9);TN0021289
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"7";AGENCE BAB SOUIKA (07);TN0021007
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"72";AGENCE MANNOUBA (72);TN0021072
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"112";AGENCE HAMMAM LIF (B2);TN0021112
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"217";AGENCE EZZAHRA (L7);TN0021217
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"254";AGENCE RADES (P4);TN0021254
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"294";AGENCE BORJ CEDRIA (T4);TN0021294
"728";DIRECTION REGIONALE TUNIS 1;"580";ZONE NORD;"271";AGENCE BOUSALEM (R1);TN0021271
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"239";AGENCE BAB BNET (N9);TN0021239
"729";DIRECTION REGIONALE TUNIS 2;"577";ZONE TUNIS CENTRE;"60";AGENCE AVENUE DE FRANCE (60);TN0021060
"731";DIRECTION REGIONALE SFAX ET SUD;"583";ZONE SFAX ET SUD 3;"31";AGENCE SFAX CENTRE (31);TN0021031
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"278";AGENCE MEDENINE (R8);TN0021278
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"231";AGENCE LAOUINA (N1);TN0021231
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"75";AGENCE LE KRAM (75);TN0021075
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"47";AGENCE MAHRES (47);TN0021047
